leakage_model,gap_height_m,efficiency,effective_leak_area_m2,choke_classification,pressure_psi,event_volume_m3,flow_m3_s,reset_time_s,reset_time_min,reset_status
perimeter_gap,0.0005,0.05,0.00011250000000000002,sealed_too_tight,42.7,1.0,0.04885871218896428,20.467178834604447,0.34111964724340743,controlled_reset
perimeter_gap,0.0005,0.05,0.00011250000000000002,sealed_too_tight,42.7,5.0,0.04885871218896428,102.33589417302223,1.705598236217037,controlled_reset
perimeter_gap,0.0005,0.05,0.00011250000000000002,sealed_too_tight,42.7,10.0,0.04885871218896428,204.67178834604445,3.411196472434074,controlled_reset
perimeter_gap,0.0005,0.05,0.00011250000000000002,sealed_too_tight,42.7,25.0,0.04885871218896428,511.67947086511117,8.527991181085186,weak_vent
perimeter_gap,0.0005,0.05,0.00011250000000000002,sealed_too_tight,42.7,50.0,0.04885871218896428,1023.3589417302223,17.055982362170372,weak_vent
perimeter_gap,0.0005,0.05,0.00011250000000000002,sealed_too_tight,49.8,1.0,0.05276461207806073,18.952096123071758,0.3158682687178626,controlled_reset
perimeter_gap,0.0005,0.05,0.00011250000000000002,sealed_too_tight,49.8,5.0,0.05276461207806073,94.76048061535879,1.579341343589313,controlled_reset
perimeter_gap,0.0005,0.05,0.00011250000000000002,sealed_too_tight,49.8,10.0,0.05276461207806073,189.52096123071757,3.158682687178626,controlled_reset
perimeter_gap,0.0005,0.05,0.00011250000000000002,sealed_too_tight,49.8,25.0,0.05276461207806073,473.80240307679395,7.896706717946566,weak_vent
perimeter_gap,0.0005,0.05,0.00011250000000000002,sealed_too_tight,49.8,50.0,0.05276461207806073,947.6048061535879,15.793413435893132,weak_vent
perimeter_gap,0.0005,0.1,0.00022500000000000005,sealed_too_tight,42.7,1.0,0.09771742437792856,10.233589417302223,0.17055982362170372,controlled_reset
perimeter_gap,0.0005,0.1,0.00022500000000000005,sealed_too_tight,42.7,5.0,0.09771742437792856,51.16794708651111,0.8527991181085185,controlled_reset
perimeter_gap,0.0005,0.1,0.00022500000000000005,sealed_too_tight,42.7,10.0,0.09771742437792856,102.33589417302223,1.705598236217037,controlled_reset
perimeter_gap,0.0005,0.1,0.00022500000000000005,sealed_too_tight,42.7,25.0,0.09771742437792856,255.83973543255559,4.263995590542593,controlled_reset
perimeter_gap,0.0005,0.1,0.00022500000000000005,sealed_too_tight,42.7,50.0,0.09771742437792856,511.67947086511117,8.527991181085186,weak_vent
perimeter_gap,0.0005,0.1,0.00022500000000000005,sealed_too_tight,49.8,1.0,0.10552922415612145,9.476048061535879,0.1579341343589313,controlled_reset
perimeter_gap,0.0005,0.1,0.00022500000000000005,sealed_too_tight,49.8,5.0,0.10552922415612145,47.380240307679394,0.7896706717946566,controlled_reset
perimeter_gap,0.0005,0.1,0.00022500000000000005,sealed_too_tight,49.8,10.0,0.10552922415612145,94.76048061535879,1.579341343589313,controlled_reset
perimeter_gap,0.0005,0.1,0.00022500000000000005,sealed_too_tight,49.8,25.0,0.10552922415612145,236.90120153839698,3.948353358973283,controlled_reset
perimeter_gap,0.0005,0.1,0.00022500000000000005,sealed_too_tight,49.8,50.0,0.10552922415612145,473.80240307679395,7.896706717946566,weak_vent
perimeter_gap,0.0005,0.25,0.0005625000000000001,sealed_too_tight,42.7,1.0,0.24429356094482138,4.09343576692089,0.0682239294486815,overviolent
perimeter_gap,0.0005,0.25,0.0005625000000000001,sealed_too_tight,42.7,5.0,0.24429356094482138,20.467178834604447,0.34111964724340743,controlled_reset
perimeter_gap,0.0005,0.25,0.0005625000000000001,sealed_too_tight,42.7,10.0,0.24429356094482138,40.93435766920889,0.6822392944868149,controlled_reset
perimeter_gap,0.0005,0.25,0.0005625000000000001,sealed_too_tight,42.7,25.0,0.24429356094482138,102.33589417302224,1.7055982362170374,controlled_reset
perimeter_gap,0.0005,0.25,0.0005625000000000001,sealed_too_tight,42.7,50.0,0.24429356094482138,204.67178834604448,3.411196472434075,controlled_reset
perimeter_gap,0.0005,0.25,0.0005625000000000001,sealed_too_tight,49.8,1.0,0.2638230603903036,3.790419224614352,0.06317365374357253,overviolent
perimeter_gap,0.0005,0.25,0.0005625000000000001,sealed_too_tight,49.8,5.0,0.2638230603903036,18.952096123071758,0.3158682687178626,controlled_reset
perimeter_gap,0.0005,0.25,0.0005625000000000001,sealed_too_tight,49.8,10.0,0.2638230603903036,37.904192246143516,0.6317365374357252,controlled_reset
perimeter_gap,0.0005,0.25,0.0005625000000000001,sealed_too_tight,49.8,25.0,0.2638230603903036,94.7604806153588,1.5793413435893133,controlled_reset
perimeter_gap,0.0005,0.25,0.0005625000000000001,sealed_too_tight,49.8,50.0,0.2638230603903036,189.5209612307176,3.1586826871786267,controlled_reset
perimeter_gap,0.0005,0.5,0.0011250000000000001,sealed_too_tight,42.7,1.0,0.48858712188964276,2.046717883460445,0.03411196472434075,overviolent
perimeter_gap,0.0005,0.5,0.0011250000000000001,sealed_too_tight,42.7,5.0,0.48858712188964276,10.233589417302223,0.17055982362170372,controlled_reset
perimeter_gap,0.0005,0.5,0.0011250000000000001,sealed_too_tight,42.7,10.0,0.48858712188964276,20.467178834604447,0.34111964724340743,controlled_reset
perimeter_gap,0.0005,0.5,0.0011250000000000001,sealed_too_tight,42.7,25.0,0.48858712188964276,51.16794708651112,0.8527991181085187,controlled_reset
perimeter_gap,0.0005,0.5,0.0011250000000000001,sealed_too_tight,42.7,50.0,0.48858712188964276,102.33589417302224,1.7055982362170374,controlled_reset
perimeter_gap,0.0005,0.5,0.0011250000000000001,sealed_too_tight,49.8,1.0,0.5276461207806072,1.895209612307176,0.03158682687178627,overviolent
perimeter_gap,0.0005,0.5,0.0011250000000000001,sealed_too_tight,49.8,5.0,0.5276461207806072,9.476048061535879,0.1579341343589313,controlled_reset
perimeter_gap,0.0005,0.5,0.0011250000000000001,sealed_too_tight,49.8,10.0,0.5276461207806072,18.952096123071758,0.3158682687178626,controlled_reset
perimeter_gap,0.0005,0.5,0.0011250000000000001,sealed_too_tight,49.8,25.0,0.5276461207806072,47.3802403076794,0.7896706717946567,controlled_reset
perimeter_gap,0.0005,0.5,0.0011250000000000001,sealed_too_tight,49.8,50.0,0.5276461207806072,94.7604806153588,1.5793413435893133,controlled_reset
perimeter_gap,0.0005,1.0,0.0022500000000000003,sealed_too_tight,42.7,1.0,0.9771742437792855,1.0233589417302225,0.017055982362170374,overviolent
perimeter_gap,0.0005,1.0,0.0022500000000000003,sealed_too_tight,42.7,5.0,0.9771742437792855,5.116794708651112,0.08527991181085186,controlled_reset
perimeter_gap,0.0005,1.0,0.0022500000000000003,sealed_too_tight,42.7,10.0,0.9771742437792855,10.233589417302223,0.17055982362170372,controlled_reset
perimeter_gap,0.0005,1.0,0.0022500000000000003,sealed_too_tight,42.7,25.0,0.9771742437792855,25.58397354325556,0.42639955905425936,controlled_reset
perimeter_gap,0.0005,1.0,0.0022500000000000003,sealed_too_tight,42.7,50.0,0.9771742437792855,51.16794708651112,0.8527991181085187,controlled_reset
perimeter_gap,0.0005,1.0,0.0022500000000000003,sealed_too_tight,49.8,1.0,1.0552922415612145,0.947604806153588,0.015793413435893133,overviolent
perimeter_gap,0.0005,1.0,0.0022500000000000003,sealed_too_tight,49.8,5.0,1.0552922415612145,4.7380240307679395,0.07896706717946565,overviolent
perimeter_gap,0.0005,1.0,0.0022500000000000003,sealed_too_tight,49.8,10.0,1.0552922415612145,9.476048061535879,0.1579341343589313,controlled_reset
perimeter_gap,0.0005,1.0,0.0022500000000000003,sealed_too_tight,49.8,25.0,1.0552922415612145,23.6901201538397,0.39483533589732833,controlled_reset
perimeter_gap,0.0005,1.0,0.0022500000000000003,sealed_too_tight,49.8,50.0,1.0552922415612145,47.3802403076794,0.7896706717946567,controlled_reset
perimeter_gap,0.001,0.05,0.00022500000000000005,sealed_too_tight,42.7,1.0,0.09771742437792856,10.233589417302223,0.17055982362170372,controlled_reset
perimeter_gap,0.001,0.05,0.00022500000000000005,sealed_too_tight,42.7,5.0,0.09771742437792856,51.16794708651111,0.8527991181085185,controlled_reset
perimeter_gap,0.001,0.05,0.00022500000000000005,sealed_too_tight,42.7,10.0,0.09771742437792856,102.33589417302223,1.705598236217037,controlled_reset
perimeter_gap,0.001,0.05,0.00022500000000000005,sealed_too_tight,42.7,25.0,0.09771742437792856,255.83973543255559,4.263995590542593,controlled_reset
perimeter_gap,0.001,0.05,0.00022500000000000005,sealed_too_tight,42.7,50.0,0.09771742437792856,511.67947086511117,8.527991181085186,weak_vent
perimeter_gap,0.001,0.05,0.00022500000000000005,sealed_too_tight,49.8,1.0,0.10552922415612145,9.476048061535879,0.1579341343589313,controlled_reset
perimeter_gap,0.001,0.05,0.00022500000000000005,sealed_too_tight,49.8,5.0,0.10552922415612145,47.380240307679394,0.7896706717946566,controlled_reset
perimeter_gap,0.001,0.05,0.00022500000000000005,sealed_too_tight,49.8,10.0,0.10552922415612145,94.76048061535879,1.579341343589313,controlled_reset
perimeter_gap,0.001,0.05,0.00022500000000000005,sealed_too_tight,49.8,25.0,0.10552922415612145,236.90120153839698,3.948353358973283,controlled_reset
perimeter_gap,0.001,0.05,0.00022500000000000005,sealed_too_tight,49.8,50.0,0.10552922415612145,473.80240307679395,7.896706717946566,weak_vent
perimeter_gap,0.001,0.1,0.0004500000000000001,sealed_too_tight,42.7,1.0,0.19543484875585712,5.116794708651112,0.08527991181085186,controlled_reset
perimeter_gap,0.001,0.1,0.0004500000000000001,sealed_too_tight,42.7,5.0,0.19543484875585712,25.583973543255556,0.42639955905425925,controlled_reset
perimeter_gap,0.001,0.1,0.0004500000000000001,sealed_too_tight,42.7,10.0,0.19543484875585712,51.16794708651111,0.8527991181085185,controlled_reset
perimeter_gap,0.001,0.1,0.0004500000000000001,sealed_too_tight,42.7,25.0,0.19543484875585712,127.91986771627779,2.1319977952712965,controlled_reset
perimeter_gap,0.001,0.1,0.0004500000000000001,sealed_too_tight,42.7,50.0,0.19543484875585712,255.83973543255559,4.263995590542593,controlled_reset
perimeter_gap,0.001,0.1,0.0004500000000000001,sealed_too_tight,49.8,1.0,0.2110584483122429,4.7380240307679395,0.07896706717946565,overviolent
perimeter_gap,0.001,0.1,0.0004500000000000001,sealed_too_tight,49.8,5.0,0.2110584483122429,23.690120153839697,0.3948353358973283,controlled_reset
perimeter_gap,0.001,0.1,0.0004500000000000001,sealed_too_tight,49.8,10.0,0.2110584483122429,47.380240307679394,0.7896706717946566,controlled_reset
perimeter_gap,0.001,0.1,0.0004500000000000001,sealed_too_tight,49.8,25.0,0.2110584483122429,118.45060076919849,1.9741766794866416,controlled_reset
perimeter_gap,0.001,0.1,0.0004500000000000001,sealed_too_tight,49.8,50.0,0.2110584483122429,236.90120153839698,3.948353358973283,controlled_reset
perimeter_gap,0.001,0.25,0.0011250000000000001,sealed_too_tight,42.7,1.0,0.48858712188964276,2.046717883460445,0.03411196472434075,overviolent
perimeter_gap,0.001,0.25,0.0011250000000000001,sealed_too_tight,42.7,5.0,0.48858712188964276,10.233589417302223,0.17055982362170372,controlled_reset
