depth_m,pressure_psi,pressure_kpa,event_volume_m3,choke_area_m2,flow_m3_s,velocity_m_s,reset_time_s,reset_time_min,status
30.0,42.68460621400281,294.3,1.0,0.0,0.0,0.0,inf,inf,sealed_fail
30.0,42.68460621400281,294.3,1.0,0.0005,0.2171106860566748,434.2213721133496,4.60594555782924,0.076765759297154,controlled_reset
30.0,42.68460621400281,294.3,1.0,0.001,0.4342213721133496,434.2213721133496,2.30297277891462,0.038382879648577,controlled_reset
30.0,42.68460621400281,294.3,1.0,0.0025,1.085553430283374,434.2213721133496,0.9211891115658479,0.015353151859430798,controlled_reset
30.0,42.68460621400281,294.3,1.0,0.005,2.171106860566748,434.2213721133496,0.46059455578292396,0.007676575929715399,controlled_reset
30.0,42.68460621400281,294.3,1.0,0.01,4.342213721133496,434.2213721133496,0.23029727789146198,0.0038382879648576995,controlled_reset
30.0,42.68460621400281,294.3,1.0,0.02,8.684427442266992,434.2213721133496,0.11514863894573099,0.0019191439824288498,controlled_reset
30.0,42.68460621400281,294.3,1.0,0.05,21.71106860566748,434.2213721133496,0.0460594555782924,0.00076765759297154,overviolent
30.0,42.68460621400281,294.3,1.0,0.1,43.42213721133496,434.2213721133496,0.0230297277891462,0.00038382879648577,overviolent
30.0,42.68460621400281,294.3,1.0,0.25,108.5553430283374,434.2213721133496,0.00921189111565848,0.00015353151859430798,overviolent
30.0,42.68460621400281,294.3,1.0,0.5,217.1106860566748,434.2213721133496,0.00460594555782924,7.676575929715399e-05,overviolent
30.0,42.68460621400281,294.3,1.0,0.79,343.0348839695462,434.22137211334956,0.0029151554163476204,4.8585923605793676e-05,overviolent
30.0,42.68460621400281,294.3,1.0,1.26,547.1189288628206,434.2213721133496,0.0018277561737417617,3.0462602895696028e-05,overviolent
30.0,42.68460621400281,294.3,5.0,0.0,0.0,0.0,inf,inf,sealed_fail
30.0,42.68460621400281,294.3,5.0,0.0005,0.2171106860566748,434.2213721133496,23.0297277891462,0.38382879648577,controlled_reset
30.0,42.68460621400281,294.3,5.0,0.001,0.4342213721133496,434.2213721133496,11.5148638945731,0.191914398242885,controlled_reset
30.0,42.68460621400281,294.3,5.0,0.0025,1.085553430283374,434.2213721133496,4.60594555782924,0.076765759297154,controlled_reset
30.0,42.68460621400281,294.3,5.0,0.005,2.171106860566748,434.2213721133496,2.30297277891462,0.038382879648577,controlled_reset
30.0,42.68460621400281,294.3,5.0,0.01,4.342213721133496,434.2213721133496,1.15148638945731,0.0191914398242885,controlled_reset
30.0,42.68460621400281,294.3,5.0,0.02,8.684427442266992,434.2213721133496,0.575743194728655,0.00959571991214425,controlled_reset
30.0,42.68460621400281,294.3,5.0,0.05,21.71106860566748,434.2213721133496,0.23029727789146198,0.0038382879648576995,overviolent
30.0,42.68460621400281,294.3,5.0,0.1,43.42213721133496,434.2213721133496,0.11514863894573099,0.0019191439824288498,overviolent
30.0,42.68460621400281,294.3,5.0,0.25,108.5553430283374,434.2213721133496,0.0460594555782924,0.00076765759297154,overviolent
30.0,42.68460621400281,294.3,5.0,0.5,217.1106860566748,434.2213721133496,0.0230297277891462,0.00038382879648577,overviolent
30.0,42.68460621400281,294.3,5.0,0.79,343.0348839695462,434.22137211334956,0.014575777081738102,0.00024292961802896838,overviolent
30.0,42.68460621400281,294.3,5.0,1.26,547.1189288628206,434.2213721133496,0.009138780868708809,0.00015231301447848016,overviolent
30.0,42.68460621400281,294.3,10.0,0.0,0.0,0.0,inf,inf,sealed_fail
30.0,42.68460621400281,294.3,10.0,0.0005,0.2171106860566748,434.2213721133496,46.0594555782924,0.76765759297154,controlled_reset
